BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr379,93.9074074,41.8703704,26.5,12.8351852,0.28571429,4.08333333,1.45078963,0.04721419,0.009211298,25800000,2.46E+08,7922593.5,885997.9,20,14,11
bcr381,71.9876543,25.5555556,27.2925457,13.612963,10.1666667,5.34915612,5.81966823,0.23577437,0.003332776,39700000,2.48E+08,2543768,4970404,10,21,10
bcr383,217.425926,150.388889,115.388889,36.952381,11.4648148,5.48628692,0,0.00683637,0.003169899,38300000,3.43E+08,2089803.5,3101256.5,30,19,14
bcr384,128.901235,46.8024691,30.7530864,50.4047619,15.0574074,5.23312236,0,0.05186433,0.055073035,4.00E+07,2.44E+08,1634690.6,2405186.5,30,19,15
bcr385,78.9012346,50.3827161,41.4938272,23.5,11.7425926,5.4757384,0,0.18536581,0.033299285,48100000,3.23E+08,1757075.8,5096506,60,24,16
bcr386,40.6296296,39.733092,15.5485232,19.3333333,9.02037037,3.77742616,45.8217398,0.58909965,0.191776789,21800000,1.62E+08,2277541.2,931333.9,20,21,13
bcr389,55.1975309,41,14.4567901,27.0714286,15.8351852,3.99894515,0,0.055671,0.014525227,51100000,3.99E+08,1677613.6,7117580.5,30,23,16
bcr390,162.111111,88.654321,102.481482,22.4285714,18.7796296,5.39135021,10.2076516,0.07845305,0.007745958,51200000,2.47E+08,2303394,6178022,20,16,12
bcr391,111.263889,38.9027778,23.0694444,5.19047619,8.22407407,4.2521097,3.69828408,0.06146457,0.017893771,25500000,1.06E+08,2803826.5,843428,10,23,10
bcr393,121,74.7037037,83.962963,4.92857143,6.81666667,3.90400844,0,0.08784008,0.120911574,32300000,3.46E+08,1739172.6,3467812.8,20,25,14
bcr394,158.530864,107.91358,91.3703704,24.0952381,11.3351852,4.22046414,3.38517581,0.09441588,0.008944841,30400000,3.22E+08,1769736.2,3955936.8,20,25,13
bcr395,229.641975,142.481482,175.444444,81.1190476,61.112963,6.97362869,2.74809522,0.06817554,0.013412045,80200000,3.16E+08,1082641.2,6358186.5,20,29,13
bcr396,330.506173,302.975309,269.518519,50.1666667,12.9277778,8.04957806,12.6859745,0.07131699,0.019149331,6.20E+07,2.55E+08,1644262.1,4599278,20,26,14
bcr398,109.395062,50.5061728,50.7530864,6.47619048,12.0759259,3.72468354,2.1476256,0.07565458,0.006649626,52700000,2.73E+08,1038001.6,1602245.4,30,27,17
bcr399,211.987654,183.962963,132.234568,33.3809524,8.72407407,4.39978903,1.81832301,0.07460056,0.008484683,45500000,3.01E+08,1603520.2,5837424,30,26,16
bcr400,15.8148148,22.3682592,16.0407876,38.2619048,5.3537037,4.35759494,2.98085739,0.63957549,0.027499271,51800000,1.97E+08,1708547.2,4881897,30,18,16
bcr401,214.204455,157.847619,25.9257384,10.8285714,1.98814815,3.15780591,0,0.12970336,0.024110292,35700000,2.50E+08,2705508.8,5286765.5,20,25,20
bcr402,148.356898,133.466667,17.9257384,15.6857143,2.31407407,2.12827004,0,0.04056606,0.055496874,41300000,3.11E+08,1773903.6,3229179.5,20,27,14
bcr403,170.62963,131.246914,122.975309,11.2611111,2.54761905,3.8407173,1.74838751,0.08238215,0.006660477,45200000,2.45E+08,1449306.5,3877394.5,20,22,14
bcr404,30.5061728,15.4447257,15.4447257,7.74259259,0.76190476,3.61919831,0,0.46177537,0.044239147,63500000,4.11E+08,2039266.2,4236071,40,23,13
bcr405,98.6095238,57.602963,17.7988748,9.92888889,7.4,3.49535865,0,0.05867619,0.84998153,76300000,2.94E+08,1427051.4,3421613.8,30,27,14
bcr406,182.97037,76.7473996,15.6891702,7.18703704,18.0238095,4.69514768,4.82740621,0.33627962,0.043462884,49800000,1.39E+08,2667543.2,3930598,20,26,14
bcr407,164.209877,94.9506173,76.1851852,85.5238095,13.7796296,4.49472574,0,0.04555224,0.018885034,22300000,7.90E+07,2767742.2,1.40E+07,10,29,16
bcr408,144.676695,58.9012346,23.7060478,1.26190476,9.3537037,3.86181435,36.8578988,0.28340842,0.140974184,40500000,1.94E+08,2812205.5,4181242.2,20,31,18
bcr409,82.6984127,80.1358025,48.6708861,1.11904762,10.4648148,3.78797468,9.35137546,0.56865834,0.028947215,42500000,2.42E+08,2217418.2,4428770,20,26,18
bcr410,79.1269841,72.4814815,43.5372715,12.5018519,18.5,4.38924051,9.2771582,0.57913776,0.00694331,67200000,2.43E+08,3504794,3791845,20,26,15
bcr412,42.7283951,44.2063492,30.2461322,11.5388889,1.71428571,3.75632911,7.26448659,0.1980495,0.012609433,5.60E+07,2.95E+08,1431030.1,4101489.5,20,22,14
bcr413,25.3209877,26.3492064,19.978903,7.48333333,6.47619048,4.17827004,58.4460967,0.37733901,0.368101944,53400000,2.13E+08,2536735.2,4324790.5,20,22,14
bcr414,59.0246914,52.5396825,25.886076,2.16851852,11.7380952,3.3871308,0,0.18651609,0.658677355,39100000,1.38E+08,2934784.5,2434980.2,20,27,12
bcr416,31.9876543,27.1428571,18.8537271,7.70555556,1,4.42088608,4.58400758,0.57357708,0.014330131,23900000,3.24E+08,1642735,3553987,20,29,15
bcr417,480.095238,354.837413,92.4936709,33.7851852,23.0238095,7.00843882,0,0.13317173,1.186196392,76700000,2.10E+08,3499877.5,4937698.5,20,29,12
bcr419,22.7283951,31.9047619,19.0646976,7.50185185,3.88095238,3.7035865,3.91504954,1.11752644,0.023778703,5.50E+07,2.01E+08,1562701.1,3391358.8,20,26,11
bcr420,54.0864198,64.4444444,30.1054852,8.22407407,3.38095238,4.10443038,1.75966743,0.25187222,0.016852883,51900000,2.80E+08,1738756.2,3139631,20,24,16
bcr421,64.9401074,59.6419753,23.7060478,4.48333333,17.6666667,3.69303797,20.0015531,0.23770532,1.587007896,34100000,2.77E+08,2171997.2,7525928,30,26,15
bcr422,159.142857,87.7111111,19.3291139,49.8095238,44.4518519,7.93670886,1.08019189,0.12839587,0.141478543,38600000,1.68E+08,1452188,2833945.5,20,27,13
bcr423,186.761905,84.0074074,19.0337553,22.8962963,19.0952381,9.11814346,8.89397123,0.12401228,0.599994436,40100000,1.63E+08,1518387.8,3502456.5,20,24,14
bcr424,78.654321,79.5238095,33.4810127,1.53888889,1.17380952,2.99683544,0,0.50515262,1.581441888,48200000,1.66E+08,2345038.8,5102897,30,22,15
bcr425,384.142857,228.621369,73.0421941,6.22962963,24.5714286,10.7637131,0,0.12672749,0.15747163,36900000,2.47E+08,2031019.1,5080350,20,24,15
bcr426,127.735966,90.2380952,21.7369902,4.89074074,0.52380952,4.19936709,1.70823665,0.30934662,0.010732576,40700000,1.87E+08,1503956.8,3029151,20,34,19
bcr427,130.714286,119.641975,55.9845288,5.48333333,3.88095238,3.45042194,0,0.27283376,0.089356013,41200000,2.17E+08,2128025.5,5490237,20,26,15
bcr428,495.809524,343.811309,91.3122363,11.8976191,6.88185654,5.19259259,0,0.12071637,0.054507117,43800000,3.21E+08,2078975,5915478,60,26,14
bcr430,123.195204,61.6666667,24.1983122,13.3809524,10.0388889,5.98206751,10.8082137,0.40496797,0.011535843,34800000,2.83E+08,2163655.2,2484304.5,20,20,12
bcr431,316.230088,104.209877,45.0843882,111.833333,19.2055556,8.99894515,40.8393403,0.23655532,0.012942084,42200000,2.39E+08,1470258.6,2904801.2,30,20,13
bcr432,171,166.031746,81.1603376,51.3571429,15.4277778,9.77953586,36.4339304,0.47915145,0.008461312,50800000,3.15E+08,2665571.8,3666499.5,20,29,15
bcr433,176.007407,197,41.6919831,11.2071429,7.04444444,7.17721519,11.2972731,0.09115945,0.228066335,39100000,3.37E+08,2203331.8,2155556.8,0,,
bcr437,97.2962963,63.6507937,35.6610408,16.7142857,5.66851852,4.36814346,4.78506055,0.36070821,0.030796134,55500000,2.68E+08,2627246.2,1807696.2,20,24,10
bcr438,353.190476,237.340741,194.012658,111.952381,64.6740741,17.978903,90.0820572,0.05623875,0.577728602,80500000,2.71E+08,3139721,3993715.8,20,34,15
bcr439,39.7654321,81.9047619,16.0407876,11.5952381,4.07592593,3.59810127,46.6543403,0.60619968,0.033080211,50600000,1.67E+08,2354912.8,1123580.4,20,26,13
bcr440,396.587302,211.980661,23.2841069,15.5238095,13.4092593,7.58544304,0,0.26928806,0.051253653,54500000,1.86E+08,2670255,3511567,20,24,14
bcr441,206.047619,88.7481482,21.1012658,27.3407407,25.4047619,7.76793249,17.4094756,0.0991389,1.352273371,57100000,2.47E+08,2461536.2,4889534,50,23,16
bcr442,114.857143,30.5259259,9.87763713,5.65822785,4.45238095,3.78518519,0,0.2802178,0.032659368,60700000,2.23E+08,1883585.9,4330296.5,50,24,16
bcr443,245.333333,216.303704,78.8227848,22.6,4.69047619,7.59915612,19.9086461,0.299433,0.492500253,57500000,3.27E+08,3779562.8,4724925,30,21,13
bcr444,354.380952,166.6,66.7974684,3.71111111,5.76190476,7.26160338,0,0.09624851,0.169898685,57300000,2.83E+08,2502968,6463213,20,32,16
bcr445,306.52381,243.266667,104.434599,46.4333333,20.5259259,16.9662447,55.1990913,0.03651046,0.817855231,65300000,2.81E+08,3754702,2126011,20,24,13
bcr446,242.952381,127.933333,40.721519,29.7785714,7.93670886,2.37777778,5.6236794,0.04207931,0.159362829,6.70E+07,3.12E+08,3371032.5,2340931,20,25,13
bcr447,197.476191,83.7111111,21.1434599,33.8592593,23.1714286,15.1940928,0,0.12555142,0.746411917,4.70E+07,1.79E+08,3050273.5,3610053.5,20,25,13
bcr449,222.238095,103.562963,25.9535865,58.8222222,17.9452381,9.16033755,4.7025595,0.07959189,1.244938347,56600000,1.73E+08,2251012.5,5924175,30,27,15
bcr451,158.666667,75.0444444,20.1729958,12.6740741,16.2071429,6.24894515,7.07125614,0.08092181,0.182147596,48100000,2.86E+08,3034902,3485541.8,20,26,15
bcr452,137.476191,71.1185185,15.4894515,30.7481482,13.3380952,7.30379747,0,0.12727737,0.307670343,32900000,99300000,2423618.5,4138964,0,,
bcr454,247.711111,235.095238,172.535865,277.371306,134.333333,17.2194093,56.3777778,0.02261656,1.15350789,56600000,2.11E+08,1670992.1,3245594.5,20,27,14
bcr456,244.081482,200.095238,130.004219,83.7380952,21.637037,15.3206751,0,0.11512475,0.85556229,60900000,3.23E+08,2434205,3603735,20,27,14
bcr457,104.155556,82.4761905,22.7046414,122.081482,71,33.886076,25.6430168,0.12082698,0.568196602,29100000,73800000,2650143.8,10700000,50,29,16
bcr463,74.1428571,51.2666667,11.2700422,23.446276,17.2666667,15.0675106,13.9761905,0.10938376,0.068331979,27200000,1.66E+08,2655944.5,857182.8,20,25,14
bcr464,164.142857,76.0814815,16.7130802,42.87523,6.35714286,7.17721519,2.74814815,0.08583491,0.022635624,6.30E+07,3.06E+08,2774543.2,3916069.8,40,23,51
bcr466,142.714286,69.0444444,18.0632911,30.6,7.66666667,7.47257384,3.66105303,0.07847778,0.154998367,6.00E+07,1.19E+08,10800000,2966148.2,20,28,14
bcr467,260.571429,218.97037,85.3628692,84.8222222,35.8809524,33.6329114,0,0.12161222,0.472023846,75500000,1.87E+08,1812579.4,2399494.8,20,25,15
bcr468,268.428571,223.637037,81.1012658,37.7851852,21.1190476,15.7848101,0,0.04942731,0.164306428,71400000,1.50E+08,2230990.2,2507475,20,25,14
bcr484,214.142857,118.155556,37.4725738,29.7111111,7.54761905,10.0464135,0,0.06586272,0.139016756,75500000,4.21E+08,3204713.5,4586145.5,30,28,16
bcr485,567.476191,86.1555556,106.037975,20.8962963,6,12.8734177,7.30192704,0.10336607,0.099077125,70400000,4.54E+08,2044867.9,7453001,30,27,17
bcr486,350.135803,165.320988,181,59.0952381,11.5759259,5.91877637,76.0118634,0.13150238,0.088999092,58500000,1.94E+08,2596700.8,2566542.8,20,31,14
bcr487,224.08642,138.901235,131.740741,7.30952381,7.8537037,3.96729958,0.47270096,0.05958852,0.00097922,67700000,5.25E+08,1880919.2,5749670,110,24,15
bcr488,170.382716,91,58.4074074,1.95238095,13.5388889,3.69303797,9.22337757,0.0735682,0.026045285,39300000,1.91E+08,3316153.2,5681985,20,24,12
bcr489,205.320988,141,112.358025,1.83333333,13.8351852,4.94831224,0,0.06572446,0.009264921,52600000,2.65E+08,2727033.2,5468780.5,20,22,15
bcr492,162.728395,114.827161,61.7407407,15.4047619,16.8166667,4.35759494,6.53849026,0.05473616,0.009203212,3.30E+07,2.62E+08,2674877,4699409,20,23,13
bcr494,226.061728,177.296296,115.320988,85.1666667,8.3537037,4.57911392,0,0.04290577,0.009826327,49800000,2.77E+08,3052117.5,6026041,40,27,14
bcr495,309.518519,280.382716,202.851852,47.9047619,10.6685185,10.6685185,0,0.04943877,0.009990104,5.30E+07,4.19E+08,2656377.2,4291092,20,24,13
bcr496,300.809524,122.303704,34.6033755,35.2746265,5.04761905,6.62869198,2.97037037,0.06153025,0.084020362,52200000,2.32E+08,2065789.4,6453389,20,25,14
bcr497,313.962963,321.493827,269.024691,21.4092593,22.7857143,6.69936709,0,0.03829044,0.038935293,55100000,2.46E+08,2132812.8,6226921,30,31,16
bcr502,251.246914,231.864198,192.111111,22.9047619,13.4092593,4.95886076,0,0.04061826,0.009644676,50400000,2.66E+08,2077061.4,5553679.5,20,27,16
bcr503,176.061728,94.4567901,81.1234568,66.5952381,10.4648148,5.48628692,0,0.0691477,0.033592956,57900000,2.50E+08,2504993,4947872.5,40,33,15
bcr512,244.08642,172.234568,146.061728,21.2380952,16.2611111,4.48417722,0.75763459,0.05463901,0.007418444,63800000,1.66E+08,2490388,4389962,50,24,13
bcr513,156.896296,356.761905,50.0886076,8.74814815,2.30952381,9.28691983,0,0.01014974,0.054736228,60400000,2.81E+08,2336608.8,5263895.5,30,29,14
bcr514,149.518519,82.8518519,60.7530864,9.15,13.2619048,3.7035865,0,0.08977472,0.009007217,56500000,3.40E+08,2241255.2,4117523,80,23,13
bcr515,133.266667,294.619048,39.2447257,10.8962963,6.5952381,7.85232068,0,0.0542927,0.172373301,73100000,2.42E+08,2800492.5,6073016.5,30,25,68
bcr520,171.740741,91.2469136,133.592593,13.3166667,10.1666667,3.94620253,31.5316128,0.09132213,0.009723733,51100000,2.60E+08,1578578.9,4041980.2,20,27,13
bcr526,136.52381,54.1555556,13.8016878,15.7587994,3.97619048,8.69620253,8.00740741,0.25632743,0.752616984,34600000,1.88E+08,3026667.5,1724735,20,37,14
bcr527,120.506173,64.8271605,36.4320988,18.8571429,6.00185185,3.49261603,7.92215418,0.05327487,0.011012207,17200000,2.43E+08,1960763.2,2921196,10,16,9.6
bcr528,131.864198,33.7160494,24.8271605,3.37222222,1.73809524,3.03902954,2.54905094,0.04657666,0.009047363,52200000,1.73E+08,2045559.4,668511.94,10,21,11
bcr529,323.190476,148.890187,52.8312236,25.637037,4.69047619,8.02109705,0,0.05835286,0.088946947,58400000,3.64E+08,2381302.8,4805186,10,27,11
bcr531,311.37037,296.061728,273.222222,17.3351852,,,0.68187113,0.05281657,1.348887136,54500000,2.31E+08,1954176.1,4662896,20,26,12
bcr533,395.095238,138.303704,43.1687764,5.19259259,1.47619048,6.79746835,2.20976754,0.04244548,0.035072612,26700000,2.12E+08,3171049,5673500,10,20,11
bcr534,476.925926,705.444444,461,21.4833333,,,5.30076495,0.04222832,0.009363136,61600000,2.98E+08,1697158.4,3180701.2,20,24,14
bcr535,342.952381,165.192593,65.7848101,12.1555556,4.21428571,6.71308017,0.13887396,0.00566075,0.025367986,58400000,1.18E+08,3259518.8,3642214,40,26,13
bcr536,136.054321,101.239506,120.696296,14.0018519,12.3095238,4.80063291,0,0.04772746,0.317139649,49200000,2.03E+08,4595370.5,4415804,20,22,12
bcr538,280.333333,109.266667,28.443038,15.0444444,11.2380952,7.1350211,0,0.07515873,0.37429628,18400000,2.96E+08,1792412.2,3230713,20,18,10
bcr539,156.004938,171.560494,99.6592593,68.3809524,31.2981481,7.44831224,14.371991,0.07702517,0.005966024,41800000,1.34E+08,1478744.9,2429920,10,19,10
bcr540,45.5592593,11.2259259,11.4111111,12.452381,2.77962963,3.90400844,7.27329203,0.06757269,0.020826145,19500000,1.56E+08,1429717.5,454482.25,10,14,7.5
bcr541,74.8240741,37.4166667,37.1388889,15.4047619,18.8907407,5.57067511,0.8045677,0.09988336,0.01573136,57500000,1.43E+08,1541446.9,4115059.2,20,21,9.7
bcr542,151.864198,104.827161,64.2098765,39.2142857,27.7796296,5.48628692,0,0.05737387,0.020782842,18500000,1.89E+08,2763199.5,3675949.8,20,27,12
bcr544,304.950617,343.839506,246.185185,9.0952381,14.9462963,5.54957806,8.82205233,0.05144214,0.014498249,50600000,3.83E+08,1594405.6,5506457.5,20,23,13
bcr545,88.7777778,49.0246914,38.2839506,8.61904762,11.2240741,4.24156118,4.92918887,0.10304592,0.010742227,24200000,3.16E+08,2539135,2791164.2,20,16,12
bcr546,323.469136,360.62963,293.839506,47.3095238,4.46481481,3.81962025,0.4113853,0.03722744,0.007917709,55800000,3.63E+08,2345059.5,5024575,20,26,13
bcr547,254.580247,255.197531,217.790124,88.0238095,5.74259259,5.78164557,0,0.06611815,0.00898742,55700000,2.98E+08,1682372.5,5848649,30,26,15
bcr548,153.990741,125.657407,99.7314815,8.38095238,14.3351852,3.86181435,0.68529762,0.03678982,0.013367858,51300000,2.67E+08,2666027.5,5714600.5,20,25,15
bcr549,157.049383,126.432099,98.5308642,42.7857143,16.9833333,4.95886076,1.66818624,0.07727489,0.007965185,51700000,3.28E+08,1438848.6,5278240,30,29,14
bcr550,151.493827,148.654321,117.666667,58.5,13.9833333,4.68459916,47.7436767,0.1476269,0.009386807,43200000,2.47E+08,1736440.9,7232841.5,20,30,16
bcr551,77.4197531,51.617284,24.5802469,60.8809524,11.187037,4.39978903,3.65614546,0.03216004,0.01415191,42500000,3.03E+08,3006063,4215538.5,20,26,12
bcr552,194.703704,128.283951,116.679012,24.9285714,13.5203704,5.2964135,60.8438852,0.06566797,0.040508761,58200000,2.41E+08,1908922.2,6176575,20,25,15
bcr553,232.748148,175.809524,57.9367089,44.2296296,19.8095238,17.2616034,0,0.02939649,0.913457735,66500000,2.93E+08,1898954,1349044.4,20,25,12
bcr554,137.049383,104.703704,81,25.4047619,22.0388889,6.16139241,8.66555841,0.09442933,0.004020324,66400000,1.67E+08,1484107,3582427,30,24,12
bcr555,340.194444,606.583333,370.101852,72.547619,14.7425926,9.93776371,15.3320135,0.03057029,0.014999814,5.30E+07,1.70E+08,1594749.6,2635946.5,20,21,13
bcr557,212.975309,183.098765,155.567901,57.6666667,25.4277778,5.20147679,4.05436887,0.0771376,0.007088198,73500000,1.48E+08,1908710.4,3488638.8,20,26,12
bcr558,78.0648148,43.25,23.9907407,23.6190476,13.1685185,3.39767932,0,0.04727944,0.021626258,30700000,1.35E+08,1831634,516166.2,10,19,9.3
bcr559,229.888889,214.827161,183.222222,10.7619048,14.3537037,4.58966245,0,0.06267454,0.065580968,52800000,2.97E+08,4102295.8,3973110.5,20,26,14
bcr560,264.546296,210.101852,121.12037,47.3095238,18.4648148,4.99050633,7.84887629,0.03670213,0.012398382,26100000,2.70E+08,1792415.2,1398190.6,10,26,11
bcr561,383.098765,556.555556,283.098765,22.7857143,14.7796296,6.10864979,0,0.04310147,0.024654477,57600000,4.95E+08,1788013.2,3038784.5,80,27,12
bcr562,285.320988,352.234568,190.259259,40.4047619,12.5388889,6.57278481,0,0.06664613,0.011868789,5.00E+07,3.57E+08,1439581.2,2718979.8,30,27,12
bcr563,108.777778,117.049383,77.2962963,56.1190476,10.5759259,6.41455696,0,0.04928908,0.019884246,48300000,2.76E+08,2104118.8,5233160,30,30,13
bcr565,115.197531,83.0987654,75.9382716,5.77962963,1.5,3.72468354,9.01904798,0.07700645,0.0059,6.10E+07,2.05E+08,1989338.9,2997722,20,27,12
bcr567,143.592593,138.777778,87.6666667,210.047619,18.2796296,5.79219409,5.88665722,0.11949796,0.01286889,57800000,2.43E+08,1666180.6,5537679,0,,
bcr568,130.506173,116.308642,68.4074074,58.1428571,14.612963,5.58122363,11.6892193,0.09047551,0.07260658,41500000,1.38E+08,2991624,2950357.8,20,31,14
bcr569,115.101852,61.6759259,43.8055556,46.1190476,4.3537037,3.07067511,3.26644852,0.04763822,0.014654515,52900000,1.05E+08,2392347.5,2617060,20,27,13
bcr572,117.296296,121.246914,62.8518519,0.28571429,6.03888889,2.88080169,44.9232743,0.10012142,0.058418523,62700000,1.72E+08,2174426.5,2638686.5,10,30,12
bcr574,90.6574074,55.6574074,43.8981482,34.2142857,12.65,3.80907173,8.19064418,0.04208343,0.014146936,68900000,3.20E+08,1783463.4,3389072,20,26,13
bcr578,206.555556,179.641975,168.777778,22.3095238,11.8351852,4.23101266,0,0.06733909,0.060604877,65700000,2.75E+08,1524435.4,3418538.2,20,29,14
bcr579,103.469136,89.2716049,48.1604938,0.04761905,4.13148148,3.17616034,0,0.09164278,0.023980471,73800000,1.99E+08,2212089.2,3173726,10,23,12
bcr585,365.938272,557.296296,410.135803,113.619048,23.8537037,7.10021097,0,0.02946858,0.050195391,68400000,1.72E+08,2284570,3518621,10,25,12
bcr586,260.62963,292.851852,201.617284,91.3571429,20.7611111,6.10864979,0,0.05225806,0.050783255,57800000,2.15E+08,2325465.2,3062695.8,20,34,15
bcr587,177.17284,145.814815,127.666667,33.3809524,13.7981481,5.4335443,9.09161504,0.07839843,0.013288843,54800000,2.86E+08,2380543.5,4464990,30,26,12
bcr588,264.827161,217.790124,273.592593,36.7142857,13.2055556,5.13818565,32.7096851,0.0722976,0.009677613,52700000,2.80E+08,1647480,3826578.8,20,22,12
bcr589,241.617284,222.728395,222.975309,41.2380952,6.27962963,3.40822785,11.0873354,0.07931561,0.033311197,56800000,2.68E+08,2234454,4652862,20,21,12
bcr590,465.814815,473.222222,825.320988,183.97619,30.9277778,17.3744726,0,0.02479035,0.018934899,63800000,2.39E+08,2000983.4,3751180,20,18,12
bcr592,130.259259,126.432099,110.012346,17.4285714,10.3907407,4.99050633,7.01281601,0.09469494,0.00471309,67900000,1.63E+08,2025759.4,3686903.5,20,25,11
bcr595,265.320988,436.802469,229.395062,78.6190476,20.8537037,8.50316456,0,0.06997297,0.012261994,62100000,3.33E+08,2076162.2,3928376.2,20,21,13
bcr596,181.37037,141.37037,111.246914,82.547619,12.4092593,5.62341772,6.93428265,0.11025099,0.046184891,44400000,2.12E+08,2452188.8,8512032,20,24,15
bcr597,300.876543,252.481482,284.827161,34.452381,20.9462963,6.41455696,0,0.04781421,0.041726252,57500000,3.72E+08,1472294.1,5428957,40,25,14
bcr599,359.395062,612.234568,203.469136,31.7142857,15.0759259,7.2056962,0,0.03115736,0.029555961,33100000,2.92E+08,2566261.2,1931208.1,40,21,12
bcr600,160.259259,160.506173,91.7407407,23.7380952,8.50185185,3.89345992,1.3845099,0.03658813,0.013408215,5.90E+07,2.84E+08,1941532.5,6659774,30,24,15
bcr603,253.716049,219.765432,219.271605,31.5952381,14.5574074,4.14662447,9.06414792,0.06048037,0.007923363,60600000,2.49E+08,2282449.2,6808179,30,28,17
bcr604,121.123457,121,86.4320988,3.02380952,10.6685185,3.87236287,0,0.10890632,0.006249154,45500000,2.92E+08,1805637.8,5812451,20,27,16
bcr606,92.7283951,109.888889,41.2469136,2.57142857,7.15,8.46097046,58.9726381,0.12760329,0.134881662,56100000,2.87E+08,1954286,1339527.9,30,25,13
bcr607,140.472222,94.1759259,35.6574074,67.547619,21.0759259,7.36392405,9.35901548,0.02944428,0.026080429,41300000,1.66E+08,2307042.2,4215408,30,18,13
bcr608,98.8981482,118.157407,42.6944444,3.64285714,7.15,5.10654008,1.18844641,0.0361051,0.011682249,58300000,2.51E+08,2174210.8,2870655.8,30,25,13
bcr609,330.012346,433.222222,302.358025,36.3571429,22.9648148,5.66561181,27.486278,0.05165021,0.040952224,40700000,1.65E+08,2582021,7680849,20,23,13
bcr610,188.530864,236.925926,138.777778,1.85714286,10.8722222,4.08333333,0,0.18166242,0.001723844,4.10E+07,1.68E+08,2375685,8135032.5,30,22,13
bcr611,199.024691,174.703704,164.827161,33.6190476,15.0574074,4.47362869,52.7741126,0.05608475,0.009341683,49900000,2.57E+08,1998243.2,6717377,40,25,18
bcr612,200.506173,211.617284,170.382716,15.1666667,11.687037,5.50738397,6.23749056,0.08545154,0.010193258,40700000,2.17E+08,2023576.4,3965996.8,20,28,13
bcr613,392.728395,239.518519,275.074074,101.47619,10.1685185,5.63396624,0,0.05016033,0.017235543,45400000,2.52E+08,2202810,3652811.5,30,28,13
bcr615,168.160494,75.0740741,71,,,,,0.06766081,,35700000,2.17E+08,2298135,3543071.5,60,28,11